"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2006","2006","PC","Percentage","0","Units",,,16.3075948653,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2007","2007","PC","Percentage","0","Units",,,16.3538399469,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2008","2008","PC","Percentage","0","Units",,,16.3543605294,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2009","2009","PC","Percentage","0","Units",,,17.8330752112,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,17.8330752112,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2011","2011","PC","Percentage","0","Units",,,17.8332487387,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2012","2012","PC","Percentage","0","Units",,,17.8334222662,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2013","2013","PC","Percentage","0","Units",,,17.8334222662,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,17.8348104863,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,17.8348104863,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,18.2327090681,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,18.2371340196,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,18.2371340196,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,18.2371340196,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,18.2371340196,,
"DNK","Denmark","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,18.2371340196,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.1947342469,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.2535998141,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,0.2602249056,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,1.5084573094,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1985","1985","PC","Percentage","0","Units",,,2.1515256174,,
"FIN","Finland","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,2.2171248841,,
