Country,IUCN,Species,Value
Japan,ENDANGERED,Lichens,41.0
Japan,ENDANGERED,Mammals,12.0
Japan,ENDANGERED,Marine Fish,8.0
Japan,ENDANGERED,Mosses,138.0
Japan,ENDANGERED,Reptiles,5.0
Japan,ENDANGERED,Vascular plants,529.0
Japan,TOT_KNOWN,Birds,700.0
Japan,TOT_KNOWN,Fish,4300.0
Japan,TOT_KNOWN,Freshwater Fish,400.0
Japan,TOT_KNOWN,Invertebrates,5300.0
Japan,TOT_KNOWN,Lichens,1600.0
Japan,TOT_KNOWN,Mammals,160.0
Japan,TOT_KNOWN,Marine Fish,3900.0
Japan,TOT_KNOWN,Mosses,1800.0
Japan,TOT_KNOWN,Reptiles,100.0
Japan,TOT_KNOWN,Vascular plants,7000.0
Japan,VULNERABLE,Birds,43.0
